Course,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price,Total Enrollment after  Phase 4,Seats Available after Phase 4,Phase 4 Price
33032-81,Managing the Workplace,Winter,2017,"Wednesday, 6:00 -  9:00","Gibbs, Michael;Kole, Stacey",14,26,0,10,30,0,11,29,0,10,30,N/A,39,1,0,38,2,0
33040-01,Macroeconomics,Winter,2017,"Thursday, 8:30 - 11:30","Vavra, Joseph",49,16,0,61,4,0,61,4,N/A,61,4,N/A,58,7,0,55,10,0
33040-02,Macroeconomics,Winter,2017,"Thursday, 1:30 -  4:30","Vavra, Joseph",35,30,0,32,33,0,32,33,N/A,32,33,N/A,36,29,0,34,31,0
33040-81,Macroeconomics,Winter,2017,"Monday, 6:00 -  9:00","Wright, Mark",25,40,0,20,45,N/A,22,43,0,23,42,0,21,44,0,15,50,N/A
33040-82,Macroeconomics,Winter,2017,"Wednesday, 6:00 -  9:00","Wright, Mark",21,44,0,21,44,0,21,44,N/A,21,44,N/A,22,43,0,22,43,0
33401-01,Money and Banking,Winter,2017,"Thursday, 8:30 - 11:30","Hachem, Kinda",45,20,0,53,12,0,53,12,N/A,53,12,N/A,54,11,0,55,10,0
33401-81,Money and Banking,Winter,2017,"Thursday, 6:00 -  9:00","Hachem, Kinda",25,40,0,22,43,0,22,43,N/A,22,43,N/A,19,46,0,18,47,0
33401-85,Money and Banking,Winter,2017,"Saturday, 1:30 -  4:30","Hachem, Kinda",34,31,0,32,33,0,32,33,N/A,32,33,N/A,35,30,0,37,28,0
33450-01,Real Estate Investments I,Winter,2017,"Thursday, 1:30 -  4:30","Pagliari, Joseph",33,32,0,39,26,0,39,26,N/A,39,26,N/A,39,26,0,41,24,0
33450-81,Real Estate Investments I,Winter,2017,"Thursday, 6:00 -  9:00","Pagliari, Joseph",31,34,0,33,32,0,35,30,0,35,30,N/A,39,26,0,36,29,N/A
33450-85,Real Estate Investments I,Winter,2017,"Saturday, 9:00 - 12:00","Pagliari, Joseph",23,42,0,24,41,0,24,41,N/A,24,41,N/A,27,38,0,28,37,0
33503-01,Managing the Firm in the Global Economy,Winter,2017,"Thursday, 8:30 - 11:30","Dingel, Jonathan",47,18,0,56,9,0,56,9,N/A,56,9,N/A,55,10,0,49,16,N/A
33503-02,Managing the Firm in the Global Economy,Winter,2017,"Thursday, 1:30 -  4:30","Dingel, Jonathan",40,25,0,51,14,0,51,14,N/A,51,14,N/A,50,15,0,47,18,0
33503-81,Managing the Firm in the Global Economy,Winter,2017,"Thursday, 6:00 -  9:00","Dingel, Jonathan",51,14,0,48,17,0,48,17,N/A,48,17,N/A,48,17,0,48,17,0
33610-60,Applied Economics Workshop,Winter,2017,"Wednesday, 1:20 -  2:50","Kamenica, Emir;Syverson, Chad",1,64,0,1,64,N/A,1,64,N/A,1,64,N/A,8,57,N/A,8,57,N/A
33650-60,Workshop in Macro and International Economics,Winter,2017,"Monday,11:45 -  1:15","Hachem, Kinda",1,64,0,2,63,0,2,63,N/A,2,63,N/A,18,47,N/A,18,47,N/A
34101-01,Entrepreneurial Finance and Private Equity,Winter,2017,"Tuesday, 8:30 - 11:30","Zingales, Luigi",44,21,0,53,12,0,53,12,N/A,53,12,N/A,57,8,0,53,12,N/A
34101-02,Entrepreneurial Finance and Private Equity,Winter,2017,"Wednesday, 8:30 - 11:30","Zingales, Luigi",40,25,0,43,22,0,43,22,N/A,43,22,N/A,42,23,0,47,18,0
34101-81,Entrepreneurial Finance and Private Equity,Winter,2017,"Tuesday, 6:00 -  9:00","Zingales, Luigi",17,48,0,16,49,0,16,49,N/A,16,49,N/A,19,46,0,21,44,0
34102-01,New Venture Strategy,Winter,2017,"Tuesday, 1:30 -  4:30","Schrager, James",65,CLO,701,65,CLO,9876,65,CLO,N/A,65,CLO,N/A,65,CLO,10111,65,CLO,16034
34102-02,New Venture Strategy,Winter,2017,"Thursday, 8:30 - 11:30","Bunch, Gregory",65,CLO,2345,65,CLO,8790,65,CLO,N/A,65,CLO,N/A,65,CLO,8305,65,CLO,N/A
34102-85,New Venture Strategy,Winter,2017,"Saturday, 1:30 -  4:30","Schrager, James",65,CLO,8469,65,CLO,14975,65,CLO,N/A,65,CLO,N/A,65,CLO,15370,65,CLO,N/A
34103-85,Building the New Venture,Winter,2017,"Saturday, 9:00 - 12:00","Lyman, Lindsey",45,CLO,5555,45,CLO,N/A,45,CLO,N/A,45,CLO,N/A,45,CLO,15000,45,CLO,5994
34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Winter,2017,"Friday, 8:30 - 11:30","Meadow, Scott",51,4,0,55,CLO,1011,55,CLO,N/A,55,CLO,N/A,55,CLO,4500,55,CLO,3623
34106-85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Winter,2017,"Saturday, 9:00 - 12:00","Meadow, Scott",55,CLO,2000,55,CLO,3819,55,CLO,N/A,55,CLO,N/A,55,CLO,11898,55,CLO,2990
34111-81,Entrepreneurial Selling,Winter,2017,"Monday, 6:00 -  9:00","Alter, Michael",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,39,26,0,34,31,0
34302-01,Entrepreneurship through Acquisition,Winter,2017,"Thursday, 1:30 -  4:30","Agnew, Mark;O'Connor, Brian",50,CLO,11192,50,CLO,15450,50,CLO,N/A,50,CLO,N/A,50,CLO,N/A,50,CLO,N/A
34701-01,New Venture and Small Enterprise Lab,Winter,2017,"Tuesday, 3:00 -  6:00","Moyer, Mike",24,CLO,119,24,CLO,N/A,24,CLO,N/A,24,CLO,N/A,22,2,0,24,CLO,312
34706-01,Energy and CleanTech Lab,Winter,2017,"Monday, 1:30 -  4:30","Blumberg, Jason",12,18,0,11,19,0,11,19,N/A,11,19,N/A,10,20,0,9,21,N/A
35000-01,Investments,Winter,2017,"Thursday, 8:30 - 11:30","Giglio, Stefano",65,CLO,111,65,CLO,10,65,CLO,N/A,65,CLO,N/A,64,1,0,63,2,0
35000-02,Investments,Winter,2017,"Thursday, 1:30 -  4:30","Giglio, Stefano",61,4,0,65,CLO,435,65,CLO,N/A,65,CLO,N/A,65,CLO,3239,65,CLO,N/A
35000-03,Investments,Winter,2017,"Friday, 1:30 -  4:30","Constantinides, George",9,56,0,11,54,0,11,54,N/A,11,54,N/A,12,53,0,13,52,0
35000-04,Investments,Winter,2017,"Wednesday, 8:30 - 11:30","Weber, Michael",48,17,0,57,8,0,57,8,N/A,57,8,N/A,61,4,0,59,6,0
35000-05,Investments,Winter,2017,"Wednesday, 1:30 -  4:30","Weber, Michael",61,4,0,65,CLO,45,65,CLO,N/A,65,CLO,N/A,65,CLO,203,65,CLO,N/A
35000-81,Investments,Winter,2017,"Thursday, 6:00 -  9:00","Constantinides, George",36,29,0,40,25,0,41,24,0,40,25,N/A,36,29,0,32,33,0
35000-82,Investments,Winter,2017,"Wednesday, 6:00 -  9:00","Weber, Michael",32,33,0,29,36,0,29,36,N/A,29,36,N/A,33,32,0,32,33,0
35000-85,Investments,Winter,2017,"Saturday, 1:30 -  4:30","Constantinides, George",63,2,0,65,CLO,100,65,CLO,N/A,65,CLO,N/A,60,5,0,62,3,0
35101-81,"Futures, Forwards, Options & Swaps: Theory and Practice",Winter,2017,"Monday, 6:00 -  9:00","Belton, Terrence",33,32,0,35,30,0,36,29,0,35,30,N/A,39,26,0,39,26,0
35131-81,Cases in Financial Risk Management,Winter,2017,"Wednesday, 6:00 -  9:00","Veronesi, Pietro",8,12,0,6,14,0,9,11,N/A,9,11,N/A,11,9,0,12,8,0
35200-01,Corporation Finance,Winter,2017,"Wednesday, 8:30 - 11:30","Tsoutsoura, Margarita",43,22,0,42,23,0,42,23,N/A,42,23,N/A,46,19,0,43,22,0
35200-02,Corporation Finance,Winter,2017,"Wednesday, 1:30 -  4:30","Tsoutsoura, Margarita",38,27,0,44,21,0,44,21,N/A,44,21,N/A,46,19,0,46,19,0
35200-81,Corporation Finance,Winter,2017,"Wednesday, 6:00 -  9:00","He, Zhiguo",12,53,0,14,51,0,14,51,N/A,14,51,N/A,22,43,0,19,46,N/A
35200-82,Corporation Finance,Winter,2017,"Tuesday, 6:00 -  9:00","Tsoutsoura, Margarita",34,31,0,35,30,0,35,30,N/A,35,30,N/A,38,27,0,38,27,0
35201-01,Cases in Financial Management,Winter,2017,"Monday, 1:30 -  4:30","Rock, Kevin",25,40,0,16,49,0,17,48,N/A,17,48,N/A,13,52,0,12,53,N/A
35201-02,Cases in Financial Management,Winter,2017,"Wednesday, 1:30 -  4:30","Born, Laura",65,CLO,2002,65,CLO,3405,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,8000
35201-82,Cases in Financial Management,Winter,2017,"Tuesday, 6:00 -  9:00","Born, Laura",26,39,0,23,42,N/A,24,41,N/A,24,41,N/A,59,6,0,60,5,0
35210-01,International Corporate Finance,Winter,2017,"Wednesday, 8:30 - 11:30","Rajan, Raghuram",65,CLO,6000,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A
35210-02,International Corporate Finance,Winter,2017,"Wednesday, 1:30 -  4:30","Rajan, Raghuram",60,5,0,65,CLO,3700,65,CLO,N/A,65,CLO,N/A,65,CLO,5644,65,CLO,227
35210-81,International Corporate Finance,Winter,2017,"Wednesday, 6:00 -  9:00","Rajan, Raghuram",65,CLO,7000,65,CLO,23000,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A
35214-01,"Debt, Distress, and Restructuring",Winter,2017,"Wednesday, 1:30 -  4:30","Sufi, Amir",65,CLO,3047,65,CLO,7912,65,CLO,N/A,65,CLO,N/A,65,CLO,3500,65,CLO,7412
35214-81,"Debt, Distress, and Restructuring",Winter,2017,"Tuesday, 6:00 -  9:00","Sufi, Amir",44,21,0,52,13,0,52,13,N/A,52,13,N/A,65,CLO,3001,65,CLO,5213
35215-01,Behavioral and Institutional Finance,Winter,2017,"Thursday, 1:30 -  4:30","Vishny, Robert",63,2,0,65,CLO,3007,65,CLO,N/A,65,CLO,N/A,65,CLO,0,65,CLO,102
35215-81,Behavioral and Institutional Finance,Winter,2017,"Thursday, 6:00 -  9:00","Vishny, Robert",59,6,0,62,3,0,62,3,N/A,62,3,N/A,65,CLO,7997,65,CLO,0
35600-60,Seminar: Finance,Winter,2017,"Tuesday, 1:20 -  2:50","Kaplan, Steven;Pastor, Lubos",3,62,0,5,60,0,5,60,N/A,5,60,N/A,11,54,0,14,51,0
35902-50,Theory of Financial Decisions II,Winter,2017,"Monday, 9:00 - 12:00","He, Zhiguo",8,57,0,10,55,0,10,55,N/A,10,55,N/A,9,56,0,9,56,N/A
35905-50,Topics in Empirical Finance,Winter,2017,"Monday, Wednesday, 1:30 -  2:50","Giglio, Stefano;Hansen, Lars",3,62,0,6,59,0,6,59,N/A,6,59,N/A,11,54,N/A,10,55,N/A
35907-50,Topics in Asset Pricing,Winter,2017,"Tuesday, 8:30 - 11:30","Veronesi, Pietro",3,62,0,5,60,0,5,60,N/A,5,60,N/A,9,56,N/A,8,57,N/A
35931-50,Research Seminar,Winter,2017,"Tuesday, 3:30 -  5:00","Kelly, Bryan;Uhlig, Harald;Zwick, Eric",1,19,0,1,19,N/A,1,19,N/A,1,19,N/A,7,13,0,6,14,N/A
36106-01,Managerial Decision Modeling,Winter,2017,"Friday, 1:30 -  4:30","Ata, Baris",45,CLO,1209,45,CLO,5,45,CLO,N/A,45,CLO,N/A,45,CLO,1251,44,1,N/A
36106-81,Managerial Decision Modeling,Winter,2017,"Friday, 6:00 -  9:00","Ata, Baris",40,CLO,2578,40,CLO,9827,40,CLO,N/A,40,CLO,N/A,40,CLO,6017,40,CLO,5000
36106-85,Managerial Decision Modeling,Winter,2017,"Saturday, 1:30 -  4:30","Ata, Baris",40,CLO,909,40,CLO,501,40,CLO,N/A,40,CLO,N/A,40,CLO,9000,40,CLO,3550
36600-60,Workshop in Operations/Management Science,Winter,2017,"Tuesday,12:10 -  1:20","Birge, John",3,62,0,3,62,N/A,3,62,N/A,3,62,N/A,3,62,N/A,3,62,N/A
36906-50,Stochastic Processes,Winter,2017,"Thursday, 2:30 -  6:00","Ata, Baris",3,62,0,4,61,0,4,61,N/A,4,61,N/A,5,60,0,6,59,0
36910-50,Stochastic Optimization II ⑤,Winter,2017,"Friday, 1:30 -  4:30","Birge, John",3,62,0,3,62,N/A,3,62,N/A,3,62,N/A,3,62,N/A,3,62,N/A
37000-01,Marketing Strategy,Winter,2017,"Wednesday, 8:30 - 11:30","Dietvorst, Berkeley",65,CLO,977,65,CLO,3000,65,CLO,N/A,65,CLO,N/A,65,CLO,3143,65,CLO,3500
37000-02,Marketing Strategy,Winter,2017,"Monday, 1:30 -  4:30","Dhar, Sanjay",65,CLO,1783,65,CLO,1480,65,CLO,N/A,65,CLO,N/A,65,CLO,4016,64,1,N/A
37000-81,Marketing Strategy,Winter,2017,"Wednesday, 6:00 -  9:00","Dietvorst, Berkeley",42,23,0,29,36,0,35,30,0,32,33,N/A,47,18,0,47,18,0
37100-01,Marketing Strategy with Simulation,Winter,2017,"Wednesday, 8:30 - 11:30","Chintagunta, Pradeep",61,4,0,65,CLO,629,65,CLO,N/A,65,CLO,N/A,65,CLO,2051,65,CLO,10
37100-81,Marketing Strategy with Simulation,Winter,2017,"Wednesday, 6:00 -  9:00","Chintagunta, Pradeep",47,18,0,42,23,0,50,15,0,49,16,N/A,51,14,0,53,12,0
37101-01,Consumer Behavior,Winter,2017,"Monday, 1:30 -  4:30","Bartels, Daniel",65,CLO,4123,65,CLO,7000,65,CLO,N/A,65,CLO,N/A,65,CLO,6131,65,CLO,N/A
37101-81,Consumer Behavior,Winter,2017,"Monday, 6:00 -  9:00","Bartels, Daniel",65,CLO,2365,65,CLO,6000,65,CLO,N/A,65,CLO,N/A,65,CLO,8432,65,CLO,N/A
37101-85,Consumer Behavior,Winter,2017,"Saturday, 1:30 -  4:30","Bartels, Daniel",65,CLO,500,65,CLO,5000,65,CLO,N/A,65,CLO,N/A,65,CLO,5001,65,CLO,10755
37105-01,Data Science for Marketing Decision Making,Winter,2017,"Thursday, 1:30 -  4:30","Hitsch, Günter",35,30,0,43,22,0,43,22,N/A,43,22,N/A,47,18,0,43,22,0
37105-81,Data Science for Marketing Decision Making,Winter,2017,"Thursday, 6:00 -  9:00","Hitsch, Günter",22,43,0,22,43,0,22,43,N/A,22,43,N/A,19,46,0,21,44,0
37200-81,New Products and Services,Winter,2017,"Tuesday, 6:00 -  9:00","Middlebrooks, Arthur",65,CLO,3001,65,CLO,11718,65,CLO,N/A,65,CLO,N/A,65,CLO,25956,65,CLO,N/A
37205-01,Going to Market: Managing Channel Strategy,Winter,2017,"Monday, 8:30 - 11:30","Daljord, Oeystein",22,43,0,26,39,0,26,39,N/A,26,39,N/A,25,40,0,22,43,N/A
37205-85,Going to Market: Managing Channel Strategy,Winter,2017,"Saturday, 9:00 - 12:00","Daljord, Oeystein",39,26,0,40,25,0,40,25,N/A,40,25,N/A,34,31,0,32,33,0
37210-01,Marketing and Managing Luxury,Winter,2017,"Tuesday, 1:30 -  4:30","Fischer, Steven",40,CLO,2777,40,CLO,N/A,40,CLO,N/A,40,CLO,N/A,40,CLO,4500,40,CLO,5401
37601-60,Marketing Workshop,Winter,2017,"Tuesday,10:40 - 12:00","Daljord, Oeystein;Hitsch, Günter",4,61,0,5,60,0,5,60,N/A,5,60,N/A,6,59,0,8,57,0
37902-50,Foundations of Advanced Quantitative Marketing,Winter,2017,"Thursday, 9:30 - 12:30","Chintagunta, Pradeep",4,61,0,4,61,N/A,4,61,N/A,4,61,N/A,8,57,0,7,58,N/A
37905-50,Marketing Literature Seminar,Winter,2017,"Monday, 1:30 -  4:30","Sussman, Abigail",6,14,0,7,13,0,7,13,N/A,7,13,N/A,8,12,0,9,11,0
38001-01,Managing in Organizations,Winter,2017,"Monday, 1:30 -  4:30","Fishbach, Ayelet",56,9,0,65,CLO,0,65,CLO,N/A,65,CLO,N/A,53,12,0,51,14,0
38001-02,Managing in Organizations,Winter,2017,"Tuesday, 8:30 - 11:30","Fishbach, Ayelet",65,CLO,1012,65,CLO,2117,65,CLO,N/A,65,CLO,N/A,65,CLO,411,64,1,0
38001-81,Managing in Organizations,Winter,2017,"Monday, 6:00 -  9:00","Fishbach, Ayelet",41,24,0,36,29,0,45,20,0,44,21,0,56,9,0,47,18,0
38002-01,Managerial Decision Making,Winter,2017,"Tuesday, 8:30 - 11:30","Risen, Jane",65,CLO,500,65,CLO,2431,65,CLO,N/A,65,CLO,N/A,65,CLO,3000,65,CLO,253
38002-02,Managerial Decision Making,Winter,2017,"Tuesday, 1:30 -  4:30","Risen, Jane",65,CLO,0,65,CLO,1111,65,CLO,N/A,65,CLO,N/A,65,CLO,5063,65,CLO,1000
38002-81,Managerial Decision Making,Winter,2017,"Monday, 6:00 -  9:00","Risen, Jane",50,15,0,46,19,0,56,9,0,54,11,N/A,65,CLO,213,65,CLO,2000
38003-01,Power and Influence in Organizations,Winter,2017,"Wednesday, 1:30 -  4:30","Caruso, Heather",65,CLO,1503,65,CLO,4015,65,CLO,N/A,65,CLO,N/A,65,CLO,5065,65,CLO,1409
38003-81,Power and Influence in Organizations,Winter,2017,"Wednesday, 6:00 -  9:00","Caruso, Heather",65,CLO,693,65,CLO,1622,65,CLO,N/A,65,CLO,N/A,65,CLO,5032,65,CLO,8000
38103-01,Strategies and Processes of Negotiation,Winter,2017,"Tuesday, 1:30 -  4:30","Pope, Devin",55,CLO,4584,55,CLO,7001,55,CLO,N/A,55,CLO,N/A,55,CLO,7230,55,CLO,N/A
38103-02,Strategies and Processes of Negotiation,Winter,2017,"Wednesday, 8:30 - 11:30","Pope, Devin",55,CLO,4720,55,CLO,6006,55,CLO,N/A,55,CLO,N/A,55,CLO,20000,55,CLO,8000
38103-03,Strategies and Processes of Negotiation,Winter,2017,"Tuesday, 1:30 -  4:30","Wittenbrink, Bernd",36,19,0,55,CLO,0,55,CLO,N/A,55,CLO,N/A,54,1,0,55,CLO,3000
38103-04,Strategies and Processes of Negotiation,Winter,2017,"Wednesday, 1:30 -  4:30","Wittenbrink, Bernd",55,CLO,0,55,CLO,467,55,CLO,N/A,55,CLO,N/A,53,2,0,55,CLO,2204
38103-81,Strategies and Processes of Negotiation,Winter,2017,"Wednesday, 6:00 -  9:00","Pope, Devin",55,CLO,1100,55,CLO,217,55,CLO,N/A,55,CLO,N/A,55,CLO,N/A,55,CLO,8645
38103-82,Strategies and Processes of Negotiation,Winter,2017,"Tuesday, 6:00 -  9:00","Wittenbrink, Bernd",14,41,0,13,42,0,18,37,0,16,39,N/A,37,18,0,39,16,0
38115-85,Ethics of Business,Winter,2017,"Saturday, 1:30 -  4:30","Rollert, John",34,31,0,30,35,0,30,35,N/A,30,35,N/A,30,35,0,25,40,N/A
38119-01,Designing a Good Life,Winter,2017,"Tuesday, 1:30 -  4:30","Epley, Nicholas",65,CLO,10434,65,CLO,18765,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A
38119-81,Designing a Good Life,Winter,2017,"Tuesday, 6:00 -  9:00","Epley, Nicholas",65,CLO,6663,65,CLO,7933,65,CLO,N/A,65,CLO,N/A,65,CLO,14201,65,CLO,11111
38601-60,Workshop in Behavioral Science,Winter,2017,"Monday,10:10 - 11:30","Wittenbrink, Bernd",4,61,0,4,61,N/A,4,61,N/A,4,61,N/A,6,59,0,6,59,N/A
38903-50,Current Topics in Behavioral Science III,Winter,2017,"Wednesday, 8:30 - 11:30","Bryan, Christopher;Shah, Anuj",4,12,0,4,12,0,4,12,N/A,4,12,N/A,15,1,1,15,1,N/A
39001-01,Strategy and Structure: Markets and Organizations,Winter,2017,"Friday, 1:30 -  4:30","Chu, Johan",31,34,0,42,23,0,42,23,N/A,42,23,N/A,40,25,0,33,32,0
39001-81,Strategy and Structure: Markets and Organizations,Winter,2017,"Friday, 6:00 -  9:00","Chu, Johan",65,CLO,1,65,CLO,10,65,CLO,N/A,65,CLO,N/A,64,1,0,62,3,0
39001-85,Strategy and Structure: Markets and Organizations,Winter,2017,"Saturday, 1:30 -  4:30","Chu, Johan",35,30,0,35,30,0,35,30,N/A,35,30,N/A,39,26,0,42,23,0
39005-01,Strategic Leadership in Management Networks ⑤,Winter,2017,"Friday, 8:30 - 11:30","Burt, Ronald",35,30,0,39,26,0,39,26,N/A,39,26,N/A,42,23,0,47,18,0
39005-81,Strategic Leadership in Management Networks ⑤,Winter,2017,"Friday, 6:00 -  9:00","Burt, Ronald",25,40,0,29,36,0,30,35,0,30,35,N/A,35,30,0,33,32,0
39005-85,Strategic Leadership in Management Networks ⑤,Winter,2017,"Saturday, 9:00 - 12:00","Burt, Ronald",54,11,0,65,CLO,13,65,CLO,N/A,65,CLO,N/A,65,CLO,2129,65,CLO,3100
39006-01,Advanced Topics in Management Networks ⑤,Winter,2017,"Friday, 8:30 - 11:30","Burt, Ronald",13,52,0,16,49,0,16,49,N/A,16,49,N/A,15,50,0,15,50,0
39006-81,Advanced Topics in Management Networks ⑤,Winter,2017,"Friday, 6:00 -  9:00","Burt, Ronald",12,53,0,15,50,0,16,49,0,16,49,N/A,17,48,0,17,48,0
39006-85,Advanced Topics in Management Networks ⑤,Winter,2017,"Saturday, 9:00 - 12:00","Burt, Ronald",42,23,0,59,6,0,59,6,N/A,59,6,N/A,63,2,0,63,2,0
39600-60,Workshop in Organizations and Markets,Winter,2017,"Tuesday, 3:00 -  4:30","Sharkey, Amanda",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A
40000-01,Operations Management: Business Process Fundamentals,Winter,2017,"Tuesday, 1:30 -  4:30","Candogan, Ozan",65,CLO,1508,65,CLO,6000,65,CLO,N/A,65,CLO,N/A,65,CLO,3400,65,CLO,N/A
40000-02,Operations Management: Business Process Fundamentals,Winter,2017,"Wednesday, 1:30 -  4:30","Candogan, Ozan",65,CLO,1803,65,CLO,5372,65,CLO,N/A,65,CLO,N/A,65,CLO,6001,65,CLO,3000
40000-81,Operations Management: Business Process Fundamentals,Winter,2017,"Tuesday, 6:00 -  9:00","Candogan, Ozan",64,1,0,55,10,0,63,2,0,62,3,0,65,CLO,617,65,CLO,103
40101-01,Supply Chain Strategy and Practice,Winter,2017,"Tuesday, 8:30 - 11:30","DeHoratius, Nicole",45,CLO,1,45,CLO,2000,45,CLO,N/A,45,CLO,N/A,44,1,0,45,CLO,10111
40101-81,Supply Chain Strategy and Practice,Winter,2017,"Tuesday, 6:00 -  9:00","DeHoratius, Nicole",33,7,0,33,7,0,33,7,N/A,33,7,N/A,39,1,0,37,3,0
40110-01,Managing Service Operations,Winter,2017,"Friday, 8:30 - 11:30","Ryan, Christopher",18,27,0,27,18,0,27,18,N/A,27,18,N/A,22,23,0,19,26,0
40110-02,Managing Service Operations,Winter,2017,"Friday, 1:30 -  4:30","Ryan, Christopher",41,4,0,45,CLO,3567,45,CLO,N/A,45,CLO,N/A,44,1,0,41,4,N/A
40110-81,Managing Service Operations,Winter,2017,"Thursday, 6:00 -  9:00","Ryan, Christopher",37,8,0,36,9,0,37,8,0,36,9,N/A,45,CLO,921,45,CLO,5501
40205-01,Healthcare Data Analytics,Winter,2017,"Friday, 8:30 - 11:30","Adelman, Dan",18,12,0,19,11,0,20,10,0,20,10,N/A,17,13,N/A,18,12,0
40205-85,Healthcare Data Analytics,Winter,2017,"Saturday, 9:00 - 12:00","Adelman, Dan",30,CLO,500,30,CLO,5735,30,CLO,N/A,30,CLO,N/A,30,CLO,6000,30,CLO,111
40909-50,Revenue Management and Dynamic Pricing ⑤,Winter,2017,"Monday, 8:30 - 11:30","Caldentey, Rene",3,17,0,3,17,N/A,3,17,N/A,3,17,N/A,4,16,0,4,16,N/A
41000-81,Business Statistics,Winter,2017,"Thursday, 6:00 -  9:00","Carvalho, Carlos",57,8,0,59,6,0,65,CLO,2031,65,CLO,2016,65,CLO,3330,65,CLO,2000
41000-85,Business Statistics,Winter,2017,"Saturday, 9:00 - 12:00","Carvalho, Carlos",40,25,0,45,20,0,45,20,N/A,45,20,N/A,62,3,0,59,6,0
41100-01,Applied Regression Analysis,Winter,2017,"Thursday, 8:30 - 11:30","Xiu, Dacheng",65,CLO,1,65,CLO,1250,65,CLO,N/A,65,CLO,N/A,64,1,0,58,7,0
41100-81,Applied Regression Analysis,Winter,2017,"Wednesday, 6:00 -  9:00","Xiu, Dacheng",39,26,0,36,29,N/A,43,22,0,43,22,N/A,48,17,0,50,15,0
41203-01,Financial Econometrics,Winter,2017,"Tuesday, 1:30 -  4:30","Russell, Jeffrey",17,48,0,16,49,0,16,49,N/A,16,49,N/A,11,54,0,12,53,0
41203-81,Financial Econometrics,Winter,2017,"Tuesday, 6:00 -  9:00","Russell, Jeffrey",35,30,0,30,35,0,30,35,N/A,30,35,N/A,34,31,0,36,29,0
41204-01,Machine Learning,Winter,2017,"Friday, 8:30 - 11:30","Kolar, Mladen",65,CLO,1,65,CLO,1200,65,CLO,N/A,65,CLO,N/A,65,CLO,200,62,3,0
41204-81,Machine Learning,Winter,2017,"Friday, 6:00 -  9:00","Kolar, Mladen",35,30,0,45,20,0,47,18,0,46,19,N/A,58,7,0,56,9,N/A
41204-85,Machine Learning,Winter,2017,"Saturday, 9:00 - 12:00","Kolar, Mladen",31,34,0,31,34,0,31,34,N/A,31,34,N/A,33,32,0,34,31,0
41600-60,Econometrics and Statistics Colloquium,Winter,2017,"Thursday, 1:20 -  2:50","Hansen, Christian",1,64,0,2,63,0,2,63,N/A,2,63,N/A,3,62,N/A,3,62,N/A
41902-50,Statistical Inference,Winter,2017,"Wednesday, 8:30 - 11:30","Xiu, Dacheng",10,55,0,12,53,0,12,53,N/A,12,53,N/A,13,52,0,13,52,N/A
41910-50,Time-series Analysis for Forecasting and Model Building,Winter,2017,"Friday, 1:30 -  4:30","Russell, Jeffrey",4,41,0,7,38,0,7,38,N/A,7,38,N/A,7,38,0,7,38,N/A
42001-01,Competitive Strategy,Winter,2017,"Monday, 1:30 -  4:30","Budish, Eric",65,CLO,0,65,CLO,4454,65,CLO,N/A,65,CLO,N/A,63,2,0,65,CLO,2567
42001-02,Competitive Strategy,Winter,2017,"Tuesday, 1:30 -  4:30","Budish, Eric",65,CLO,3101,65,CLO,4203,65,CLO,N/A,65,CLO,N/A,65,CLO,5251,65,CLO,N/A
42001-03,Competitive Strategy,Winter,2017,"Thursday, 8:30 - 11:30","Covert, Thomas",65,CLO,0,65,CLO,4000,65,CLO,N/A,65,CLO,N/A,64,1,0,65,CLO,9
42001-81,Competitive Strategy,Winter,2017,"Monday, 6:00 -  9:00","Budish, Eric",48,17,0,33,32,N/A,37,28,0,38,27,0,62,3,0,64,1,0
42001-82,Competitive Strategy,Winter,2017,"Thursday, 6:00 -  9:00","Covert, Thomas",27,38,0,25,40,0,25,40,N/A,25,40,N/A,25,40,0,26,39,0
42001-85,Competitive Strategy,Winter,2017,"Saturday, 1:30 -  4:30","Covert, Thomas",56,9,0,59,6,0,59,6,N/A,59,6,N/A,58,7,0,58,7,0
42002-01,Business Policy,Winter,2017,"Wednesday, 1:30 -  4:30","Davis, Harry",70,CLO,4042,70,CLO,9067,70,CLO,N/A,70,CLO,N/A,70,CLO,19555,70,CLO,N/A
